% passé,% actuel,Name,Description,Type
,,Moteur de rendu 2D/3D,,group
,,    Build process,Simplification du procédé de compilation multi-platforme,group
100,100,        CMake,"Système de compilation disponible via CMake, permettant la compilation de manière automatisée sur Linux, Windows et Android",
100,100,        CMake FindLugdunum,Création d'outil utilitaires permettant la recherche et l'integration harmonieuse de nos bibliothèques,
100,100,        Third party integration,Integration des binaires des dépendences tierces dont nous dépendons,
100,100,        Script d'automatisation,,
,,    API rendu bas niveau,"Abstraction facilitant l'utilisation de l'API Vulkan (par exemple gestion de la pipeline graphique, des différents buffers, etc)",group
100,100,        CommandBuffer,Abstraction des ordres envoyés au GPU,
100,100,        CommandPool,"Asbtraction des zones mémoires associés à ces ordres, côté GPU",
100,100,        Fence,Abstraction du méchanisme de synchronisation entre le CPU et le GPU,
100,100,        Semaphore,Abstraction du méchanisme de synchronisation pour le GPU uniquement,
100,100,        Queue,Asbtraction des cores GPU,
100,100,        Swapchain,Abstraction du méchanisme de présentation sur l'écran,
100,100,        Image,Abstraction des zones mémoires GPU pour les textures,
100,100,        ImageView,Abstraction de l'accés à ces zones mémoires,
100,100,        Pipeline graphique,Abstraction du mechanisme de rasterization (de la 3D à l'affichage sur un écran 2D),
100,100,        Buffers,Abstraction des zones mémoires GPU,
100,100,    Rendu PBR,Système de rendu utilisant le PBR (Physical Base Rendering),
95,95,    Gestionnaire de ressources,Gestion centralisée des ressources et de leur chargement,
,,    Gestionnaire de rendu,,group
100,100,        Forward rendering technique,Technique de rendu non optimisé en une seule phase,
0,0,        Deffered rendering technique,"Technique de rendu optimisé dont les calculs sont séparés en plusieurs phases, permettant entre autres d'optimiser les lumières",
0,0,        Multithread,Phases de rendu répartis sur plusieurs fils d'éxécution,
0,0,        Tile-based Rendering,Optimisation de la pipeline pour les rendu sur plateformes mobiles,
,,    Camera,,group
100,100,        Camera Libre,Camera qui est déplacé directement par l'utilisateur,
0,0,        Spline Camera,Camera de déplacement automatique selon un ensemble de points,
,,    Écran,,group
100,100,        Camera,"Creation facilitée de caméra, avec ses paramètres (profondeur de champ, position)",
100,100,        Custom Viewports,Permet de définir une ou plusieurs zones de rendu sur l'écran,
100,100,        Synchronisation d'affichage,Technique de permettant de synchroniser un flux vidéo et un système vidéo (un écran),
0,0,        Contrôle du Gamma,Permet de modifier le contraste ,
0,0,        Anti-Crénelage,"Réduction de l'effet ""escalier"" resultant d'un rendu 3D transposé sur un ecran 2D",
,,    Gestion de scènes,,group
80,95,        Gestion des modèles GLTF 2.0,Import de modèles glTF2.0 via notre bibliothèque glTF2-loader,
100,100,        Transformation,"Translation, rotation ou mise à l'échelle d'un objet dans l'espace",
0,0,        Partitionnement de l'espace,Algorithme d'optimisation des calculs,
,,    Meshes,,group
100,100,        Gestion de Meshes,,
100,100,        Generation dynamique de mesh,,
,,    Lumières,,group
100,100,        Lumière ambiante,Lumière qui émet de façon uniforme dans la scène,
100,100,        Lumière directionnelle,Type de lumière directionnelle ayant un angle et une direction,
100,100,"        Lumière ""Point""",Lumière qui émet dans toutes les directions à partir d'un point,
100,100,"        Lumière ""Spot""",Lumière qui émet un cône dans une direction donnée,
0,0,"        Lumière ""Area""",,
,,    Textures,,group
100,100,        Chargement des textures,Importation de différent type de fichiers de textures (associé généralement à un modéle 3D),group
0,0,        Compression des textures,Il existe plusieurs algorithme de compression de texture gérer coté GPU,
0,0,        Mip map,Adaptation du niveau de détail des textures par rapport à la distance de l'objet et de la camera,
